"contrast","estimate","SE","df","t.ratio","p.value","response"
"VEG - Base",0.303416832169475,0.014622186303257,87.9999999999993,20.750442230509,3.56175533511305e-10,"Bray-Curtis - Fresh"
"VEG - WO1",-0.0174094717435098,0.014622186303257,87.9999999999993,-1.19062029319322,0.46189340681494,"Bray-Curtis - Fresh"
"Base - WO1",-0.320826303912985,0.014622186303257,87.9999999999998,-21.9410625237023,3.56175533511305e-10,"Bray-Curtis - Fresh"
"VEG - Base",0.0295292405284769,0.00187493306849328,88.0000000000008,15.7494904883228,3.56175533511305e-10,"Weighted UniFrac - Fresh"
"VEG - WO1",-0.000130181555765252,0.00187493306849328,88.0000000000008,-0.0694326415981705,0.997345739851712,"Weighted UniFrac - Fresh"
"Base - WO1",-0.0296594220842421,0.00187493306849328,88.0000000000008,-15.818923129921,3.56175533511305e-10,"Weighted UniFrac - Fresh"
"Base - WO2",-0.356440372719443,0.015091230608128,87.9999999999998,-23.619039558475,3.56175533511305e-10,"Bray-Curtis - Fermented"
"Base - FERM",-0.337539596101964,0.015091230608128,87.9999999999998,-22.3666051408802,3.56175533511305e-10,"Bray-Curtis - Fermented"
"WO2 - FERM",0.0189007766174784,0.015091230608128,88.0000000000003,1.25243441759472,0.425854511564613,"Bray-Curtis - Fermented"
"Base - WO2",-0.0345751359696788,0.00219578994540849,87.9999999999998,-15.7461036024767,3.56175533511305e-10,"Weighted UniFrac - Fermented"
"Base - FERM",-0.0306499893234729,0.00219578994540849,87.9999999999998,-13.95852521666,3.56175644533607e-10,"Weighted UniFrac - Fermented"
"WO2 - FERM",0.00392514664620594,0.00219578994540849,88.0000000000003,1.78757838581674,0.179678620956597,"Weighted UniFrac - Fermented"
"Base - WO2",-0.356440372719443,0.0156384083223132,88.0000000000008,-22.7926247590597,3.56175533511305e-10,"Bray-Curtis - Washout"
"Base - WO1",-0.320826303912985,0.0156384083223132,88.0000000000003,-20.5152786204733,3.56175533511305e-10,"Bray-Curtis - Washout"
"WO2 - WO1",0.0356140688064579,0.0156384083223132,88.0000000000003,2.27734613858643,0.0643227319382992,"Bray-Curtis - Washout"
"Base - WO2",-0.0345751359696787,0.0021536627761106,88.0000000000003,-16.054108541598,3.56175533511305e-10,"Weighted UniFrac - Washout"
"Base - WO1",-0.0296594220842421,0.0021536627761106,88.0000000000008,-13.7716184786392,3.5617575555591e-10,"Weighted UniFrac - Washout"
"WO2 - WO1",0.00491571388543662,0.0021536627761106,88.0000000000003,2.28249006295876,0.063560323122803,"Weighted UniFrac - Washout"
